id,image,book_name,rating,price,status,category
1,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,It's Only the Himalayas,2,45.17,True,Travel
2,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,49.43,True,Travel
3,https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,See America: A Celebration of Our National Parks & Treasured Sites,3,48.87,True,Travel
4,https://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,36.94,True,Travel
5,https://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,Under the Tuscan Sun,3,37.33,True,Travel
6,https://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,A Summer In Europe,2,44.34,True,Travel
7,https://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,The Great Railway Bazaar,1,30.54,True,Travel
8,https://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,A Year in Provence (Provence #1),4,56.88,True,Travel
9,https://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,23.21,True,Travel
10,https://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,Neither Here nor There: Travels in Europe,3,38.95,True,Travel
11,https://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,"1,000 Places to See Before You Die",5,26.08,True,Travel
12,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,Sharp Objects,4,47.82,True,Mystery
13,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,"In a Dark, Dark Wood",1,19.63,True,Mystery
14,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,The Past Never Ends,4,56.5,True,Mystery
15,https://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,A Murder in Time,1,16.64,True,Mystery
16,https://books.toscrape.com/media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1,True,Mystery
17,https://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,The Last Mile (Amos Decker #2),2,54.21,True,Mystery
18,https://books.toscrape.com/media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,That Darkness (Gardiner and Renner #1),1,13.92,True,Mystery
19,https://books.toscrape.com/media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,Tastes Like Fear (DI Marnie Rome #3),1,10.69,True,Mystery
20,https://books.toscrape.com/media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,A Time of Torment (Charlie Parker #14),5,48.35,True,Mystery
21,https://books.toscrape.com/media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,A Study in Scarlet (Sherlock Holmes #1),2,16.73,True,Mystery
22,https://books.toscrape.com/media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,Poisonous (Max Revere Novels #3),3,26.8,True,Mystery
23,https://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,True,Mystery
24,https://books.toscrape.com/media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,Most Wanted,3,35.28,True,Mystery
25,https://books.toscrape.com/media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,Hide Away (Eve Duncan #20),1,11.84,True,Mystery
26,https://books.toscrape.com/media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,Boar Island (Anna Pigeon #19),3,59.48,True,Mystery
27,https://books.toscrape.com/media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,The Widow,2,27.26,True,Mystery
28,https://books.toscrape.com/media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,Playing with Fire,3,13.71,True,Mystery
29,https://books.toscrape.com/media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37,True,Mystery
30,https://books.toscrape.com/media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3,True,Mystery
31,https://books.toscrape.com/media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,Delivering the Truth (Quaker Midwife Mystery #1),4,20.89,True,Mystery
32,https://books.toscrape.com/media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg,The Mysterious Affair at Styles (Hercule Poirot #1),4,24.8,True,Mystery
33,https://books.toscrape.com/media/cache/24/a1/24a175dac7cb91ff26e2d723cdc6e098.jpg,In the Woods (Dublin Murder Squad #1),2,38.38,True,Mystery
34,https://books.toscrape.com/media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg,The Silkworm (Cormoran Strike #2),5,23.05,True,Mystery
35,https://books.toscrape.com/media/cache/2d/1a/2d1aeb1cc8a23064164e230fa232cc04.jpg,The Exiled,3,43.45,True,Mystery
36,https://books.toscrape.com/media/cache/11/81/11815f24d043f77d4f09a3522a688a5c.jpg,The Cuckoo's Calling (Cormoran Strike #1),1,19.21,True,Mystery
37,https://books.toscrape.com/media/cache/de/86/de86d4f1563fad2ca088922fbbb2b36a.jpg,Extreme Prey (Lucas Davenport #26),3,25.4,True,Mystery
38,https://books.toscrape.com/media/cache/9e/ff/9eff8b66d583e8f0ba58a0bc86de40f2.jpg,Career of Evil (Cormoran Strike #3),2,24.72,True,Mystery
39,https://books.toscrape.com/media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7,True,Mystery
40,https://books.toscrape.com/media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg,The Girl You Lost,5,12.29,True,Mystery
41,https://books.toscrape.com/media/cache/d8/f7/d8f77fe7f4bb8610e903741441f84702.jpg,The Girl In The Ice (DCI Erika Foster #1),3,15.85,True,Mystery
42,https://books.toscrape.com/media/cache/cb/f6/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg,Blood Defense (Samantha Brinkman #1),3,20.3,True,Mystery
43,https://books.toscrape.com/media/cache/2b/41/2b4161c5b72a4ae386b644682361b34a.jpg,1st to Die (Women's Murder Club #1),1,53.98,True,Mystery
44,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,Tipping the Velvet,1,53.74,True,Historical Fiction
45,https://books.toscrape.com/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,29.69,True,Historical Fiction
46,https://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg,A Flight of Arrows (The Pathfinders #2),5,55.53,True,Historical Fiction
47,https://books.toscrape.com/media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,The House by the Lake,1,36.95,True,Historical Fiction
48,https://books.toscrape.com/media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg,Mrs. Houdini,5,30.25,True,Historical Fiction
49,https://books.toscrape.com/media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg,The Marriage of Opposites,4,28.08,True,Historical Fiction
50,https://books.toscrape.com/media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg,Glory over Everything: Beyond The Kitchen House,3,45.84,True,Historical Fiction
51,https://books.toscrape.com/media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg,"Love, Lies and Spies",2,20.55,True,Historical Fiction
52,https://books.toscrape.com/media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg,A Paris Apartment,4,39.01,True,Historical Fiction
53,https://books.toscrape.com/media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg,Lilac Girls,2,17.28,True,Historical Fiction
